ID;Date;?;clock;east-west;north-south;primary;12C;13C/12C;1SE (‰);DT-FA-x (bits);DT-FA-y (bits);entrance slit (bits);13C/12C IMF corrected;VPDB;uncert. (1SE, ‰)
D-13C@02;23.02.2021;30;01:17:00;-2497;-5388;1.05;1.30E+07;0.011242;0.29;-42;34;-5;0.0112007;-3.25;0.29
D-13C@03;23.02.2021;30;01:21:00;-2525;-5346;1.06;1.29E+07;0.011273;0.25;-43;34;-3;0.0112316;-0.5;0.25
D-13C@04;23.02.2021;30;01:26:00;-2553;-5304;1.06;1.30E+07;0.01123;0.25;-43;32;-5;0.0111894;-4.25;0.25
D-13C@05;23.02.2021;30;01:30:00;-2581;-5262;1.05;1.28E+07;0.011267;0.25;-42;32;-4;0.0112253;-1.06;0.25
D-13C@06;23.02.2021;30;01:35:00;-2609;-5220;1.04;1.27E+07;0.011257;0.25;-42;33;-5;0.0112154;-1.94;0.25
D-13C@07;23.02.2021;30;01:44:00;-2637;-5178;1.02;1.22E+07;0.011257;0.28;-43;32;-4;0.0112155;-1.93;0.28
D-13C@08;23.02.2021;30;01:49:00;-2665;-5135;0.99;1.21E+07;0.01124;0.3;-42;32;-5;0.0111988;-3.42;0.3
D-13C@09;23.02.2021;30;01:54:00;-2693;-5092;0.99;1.23E+07;0.011238;0.25;-43;31;-4;0.011197;-3.58;0.25
D-13C@01;23.02.2021;30;01:12:00;-2469;-5430;1.05;1.29E+07;0.01124;0.31;-42;36;-5;0.0111986;-3.43;0.31
D-13C@10;23.02.2021;30;01:58:00;-2721;-5049;1;1.26E+07;0.011243;0.27;-44;31;-4;0.0112015;-3.18;0.27
D-13C@11;23.02.2021;30;02:03:00;-2748;-5006;1;1.25E+07;0.011232;0.26;-43;31;-2;0.0111906;-4.15;0.26
D-13C@12;23.02.2021;30;02:10:00;-2775;-4963;0.99;3.30E+08;;33.97;-46;27;6;;;
D-13C@13;23.02.2021;30;02:14:00;-2802;-4920;0.99;1.23E+07;0.011246;0.25;-45;30;-3;0.0112051;-2.86;0.25
D-13C@14;23.02.2021;30;02:19:00;-2829;-4877;1;1.22E+07;0.011264;0.26;-44;28;-4;0.0112228;-1.29;0.26
D-13C@15;23.02.2021;30;02:24:00;-2856;-4834;1.04;1.23E+07;0.011225;0.27;-44;28;-4;0.0111837;-4.76;0.27
D-13C@16;23.02.2021;30;02:28:00;-2883;-4791;0.97;1.21E+07;0.011257;0.27;-43;29;-3;0.0112156;-1.92;0.27
D-13C@17;23.02.2021;30;02:33:00;-2910;-4748;0.96;1.22E+07;0.011253;0.26;-45;28;-4;0.0112114;-2.3;0.26
D-13C@18;23.02.2021;30;02:37:00;-2937;-4705;0.95;1.21E+07;0.01125;0.34;-44;28;-5;0.011209;-2.51;0.34
D-13C@19;23.02.2021;30;02:42:00;-2964;-4662;0.95;1.19E+07;0.011239;0.26;-44;27;-3;0.0111976;-3.53;0.26
D-13C@20;23.02.2021;30;02:46:00;-2984;-4633;0.95;1.31E+07;0.011203;0.25;-42;25;-6;0.0111618;-6.71;0.25
D-13C@21;23.02.2021;30;02:51:00;-3004;-4604;0.93;1.18E+07;0.011237;0.3;-44;27;-5;0.0111956;-3.7;0.3
D-13C@22;23.02.2021;30;03:05:00;-3024;-4575;0.89;1.19E+07;0.011256;0.26;-45;26;-3;0.0112147;-2;0.26
D-13C@23;23.02.2021;30;03:09:00;-3044;-4546;0.91;1.20E+07;0.011234;0.26;-46;25;-6;0.0111928;-3.95;0.26
D-13C@24;23.02.2021;30;03:14:00;-3064;-4517;0.89;1.17E+07;0.011249;0.26;-45;25;-6;0.0112082;-2.58;0.26
D-13C@25;23.02.2021;30;03:19:00;-3084;-4488;0.91;1.17E+07;0.011235;0.27;-45;25;-4;0.0111937;-3.87;0.27
D-13C@26;23.02.2021;30;03:23:00;-3104;-4459;0.91;1.17E+07;0.01124;0.27;-44;26;-5;0.0111984;-3.45;0.27
D-13C@27;23.02.2021;30;03:28:00;-3124;-4430;0.92;1.17E+07;0.011261;0.28;-44;25;-6;0.0112202;-1.51;0.28
D-13C@28;23.02.2021;30;03:32:00;-3144;-4401;0.89;1.19E+07;0.01126;0.33;-45;25;-5;0.0112191;-1.61;0.33
D-13C@29;23.02.2021;30;03:37:00;-3164;-4372;0.9;1.16E+07;0.011238;0.26;-44;25;-5;0.0111973;-3.55;0.26
D-13C@30;23.02.2021;30;03:41:00;-3183;-4343;0.89;1.15E+07;0.011237;0.28;-44;25;-5;0.0111958;-3.68;0.28
D-13C@31;23.02.2021;30;03:46:00;-3202;-4314;0.88;1.17E+07;0.011229;0.3;-45;24;-4;0.0111877;-4.4;0.3
D-13C@32;23.02.2021;30;03:51:00;-3221;-4285;0.89;1.16E+07;0.011245;0.26;-45;24;-5;0.0112036;-2.99;0.26
D-13C@33;23.02.2021;30;03:55:00;-3240;-4256;0.88;1.17E+07;0.011246;0.26;-46;24;-4;0.0112046;-2.9;0.26
D-13C@34;23.02.2021;30;04:00:00;-3259;-4227;0.88;1.20E+07;0.011249;0.26;-44;25;-3;0.0112075;-2.64;0.26
D-13C@35;23.02.2021;30;04:04:00;-3278;-4198;0.87;1.16E+07;0.01126;0.28;-45;23;-3;0.0112191;-1.61;0.28
D-13C@36;23.02.2021;30;04:09:00;-3297;-4169;0.86;1.18E+07;0.011231;0.34;-46;24;-6;0.0111903;-4.17;0.34
D-13C@37;23.02.2021;30;04:18:00;-3316;-4140;0.85;1.20E+07;0.011214;0.26;-46;24;-11;0.0111731;-5.71;0.26
D-13C@38;23.02.2021;30;04:23:00;-3335;-4111;0.84;1.55E+07;0.011113;0.4;-42;32;-27;0.0110725;-14.66;0.4
D-13C@39;23.02.2021;30;04:27:00;-3354;-4082;0.85;1.15E+07;0.011236;0.28;-45;23;-4;0.0111951;-3.75;0.28
D-13C@40;23.02.2021;30;04:32:00;-3373;-4053;0.86;1.16E+07;0.011228;0.26;-47;22;-5;0.0111874;-4.43;0.26
D-13C@41;23.02.2021;30;04:37:00;-3392;-4024;0.85;1.39E+07;0.011188;0.3;-45;25;-3;0.011147;-8.03;0.3
D-13C@42;23.02.2021;30;04:41:00;-3411;-3995;0.86;1.16E+07;0.011246;0.26;-46;21;-3;0.0112051;-2.86;0.26
D-13C@43;23.02.2021;30;04:46:00;-3430;-3966;0.86;1.15E+07;0.011258;0.26;-45;22;-4;0.011217;-1.8;0.26
D-13C@44;23.02.2021;30;04:50:00;-3449;-3936;0.84;1.16E+07;0.011237;0.26;-46;22;-5;0.0111963;-3.64;0.26
D-13C@45;23.02.2021;30;04:55:00;-3468;-3906;0.85;1.15E+07;0.011226;0.28;-46;22;-5;0.0111848;-4.66;0.28
D-13C@46;23.02.2021;30;04:59:00;-3487;-3876;0.84;2.42E+07;0.011045;0.38;-45;23;-4;0.0110046;-20.7;0.38
D-13C@47;23.02.2021;30;05:04:00;-3506;-3846;0.84;1.15E+07;0.011204;0.26;-45;21;-5;0.0111634;-6.57;0.26
D-13C@48;23.02.2021;30;05:09:00;-3525;-3816;0.83;1.13E+07;0.011218;0.27;-47;21;-5;0.011177;-5.35;0.27
D-13C@49;23.02.2021;30;05:13:00;-3544;-3786;0.81;1.23E+07;0.011176;0.27;-44;19;-7;0.0111349;-9.1;0.27
D-13C@50;23.02.2021;30;05:18:00;-3563;-3756;0.79;1.11E+07;0.01119;0.27;-45;19;-6;0.011149;-7.85;0.27
D-13C@51;23.02.2021;30;05:22:00;-3582;-3726;0.78;1.10E+07;0.011198;0.31;-47;19;-3;0.0111569;-7.15;0.31
E-13C@02;23.02.2021;30;05:41:00;-4654;-2162;0.76;1.08E+07;0.011248;0.27;-51;16;-2;0.0112068;-2.7;0.27
E-13C@03;23.02.2021;30;05:45:00;-4612;-2135;0.76;1.07E+07;0.011244;0.29;-50;16;-2;0.0112033;-3.02;0.29
E-13C@04;23.02.2021;30;05:50:00;-4570;-2108;0.75;1.15E+07;0.01122;0.34;-49;15;-4;0.0111785;-5.23;0.34
E-13C@05;23.02.2021;30;05:55:00;-4528;-2081;0.75;1.11E+07;0.011264;0.27;-46;12;11;0.0112229;-1.28;0.27
E-13C@06;23.02.2021;30;05:59:00;-4486;-2054;0.76;1.20E+07;0.011223;0.26;-49;13;-4;0.0111817;-4.94;0.26
E-13C@07;23.02.2021;30;06:04:00;-4444;-2027;0.75;1.08E+07;0.011241;0.34;-48;13;-6;0.0111996;-3.35;0.34
E-13C@08;23.02.2021;30;06:08:00;-4401;-2000;0.75;1.06E+07;0.011238;0.27;-45;11;-7;0.0111971;-3.57;0.27
E-13C@09;23.02.2021;30;06:13:00;-4358;-1973;0.74;1.08E+07;0.011269;0.34;-44;11;-8;0.0112275;-0.87;0.34
E-13C@01;23.02.2021;30;05:36:00;-4696;-2189;0.76;1.13E+07;0.011224;0.28;-52;17;-4;0.0111828;-4.84;0.28
E-13C@10;23.02.2021;30;06:18:00;-4315;-1946;0.73;1.07E+07;0.011241;0.27;-44;11;-5;0.0112002;-3.29;0.27
E-13C@11;23.02.2021;30;06:22:00;-4272;-1919;0.74;1.09E+07;0.011258;0.3;-44;11;-7;0.0112165;-1.84;0.3
E-13C@12;23.02.2021;30;06:27:00;-4229;-1892;0.73;1.42E+07;0.011141;0.34;-36;11;-6;0.0111002;-12.19;0.34
E-13C@13;23.02.2021;30;06:31:00;-4186;-1865;0.72;1.29E+07;0.01119;0.29;-47;13;-6;0.011149;-7.85;0.29
E-13C@14;23.02.2021;30;06:36:00;-4143;-1838;0.72;1.07E+07;0.011258;0.27;-43;10;-6;0.0112173;-1.77;0.27
E-13C@15;23.02.2021;30;06:40:00;-4100;-1811;0.71;1.32E+07;0.011198;0.27;-47;9;-1;0.0111566;-7.17;0.27
E-13C@16;23.02.2021;30;06:54:00;-4057;-1784;0.71;1.07E+07;0.011227;0.29;-43;7;-5;0.0111856;-4.59;0.29
E-13C@17;23.02.2021;30;06:59:00;-4014;-1757;0.71;1.06E+07;0.011223;0.27;-42;7;-7;0.0111821;-4.9;0.27
E-13C@18;23.02.2021;30;07:04:00;-3971;-1730;0.71;1.04E+07;0.011248;0.28;-40;8;-6;0.0112065;-2.73;0.28
E-13C@19;23.02.2021;30;07:08:00;-3928;-1703;0.72;1.04E+07;0.011253;0.37;-39;8;-5;0.0112119;-2.25;0.37
E-13C@20;23.02.2021;30;07:13:00;-3885;-1676;0.72;1.03E+07;0.011245;0.28;-39;5;-8;0.0112041;-2.95;0.28
E-13C@21;23.02.2021;30;07:17:00;-3842;-1649;0.7;1.04E+07;0.011265;0.37;-39;7;-8;0.0112239;-1.18;0.37
E-13C@22;23.02.2021;30;07:22:00;-3799;-1622;0.7;1.06E+07;0.011225;0.28;-39;7;-7;0.0111837;-4.76;0.28
E-13C@23;23.02.2021;30;07:26:00;-3756;-1595;0.7;1.08E+07;0.011241;0.28;-39;7;-6;0.0112004;-3.28;0.28
E-13C@24;23.02.2021;30;07:31:00;-3713;-1568;0.69;1.05E+07;0.011253;0.33;-39;6;-7;0.0112123;-2.22;0.33
E-13C@25;23.02.2021;30;07:35:00;-3670;-1541;0.68;1.10E+07;0.011249;0.27;-38;7;-5;0.0112082;-2.58;0.27
E-13C@26;23.02.2021;30;07:40:00;-3627;-1514;0.68;1.10E+07;0.011249;0.27;-36;5;-5;0.0112078;-2.62;0.27
E-13C@27;23.02.2021;30;07:45:00;-3584;-1487;0.68;4.10E+07;0.010919;0.18;-41;-9;-31;0.0108787;-31.91;0.18
E-13C@28;23.02.2021;30;07:49:00;-3541;-1459;0.68;1.17E+07;0.011226;0.27;-34;6;-7;0.0111854;-4.61;0.27
E-13C@29;23.02.2021;30;07:54:00;-3513;-1439;0.69;1.16E+07;0.011216;0.26;-35;5;-6;0.0111753;-5.5;0.26
E-13C@30;23.02.2021;30;07:58:00;-3485;-1419;0.67;1.08E+07;0.011242;0.27;-36;5;-4;0.0112004;-3.27;0.27
E-13C@31;23.02.2021;30;08:08:00;-3457;-1399;0.67;1.08E+07;0.011229;0.27;-35;5;-6;0.011188;-4.38;0.27
E-13C@32;23.02.2021;30;08:12:00;-3429;-1379;0.68;1.14E+07;0.011221;0.28;-35;5;-4;0.0111796;-5.12;0.28
E-13C@33;23.02.2021;30;08:17:00;-3401;-1359;0.68;1.11E+07;0.011222;0.31;-34;5;-6;0.0111807;-5.03;0.31
E-13C@34;23.02.2021;30;08:21:00;-3373;-1339;0.66;1.59E+07;0.011123;0.23;-33;3;-9;0.0110826;-13.76;0.23
E-13C@35;23.02.2021;30;08:26:00;-3345;-1319;0.66;1.11E+07;0.011194;0.27;-32;3;-7;0.0111533;-7.46;0.27
E-13C@36;23.02.2021;30;08:31:00;-3317;-1298;0.66;1.68E+07;0.011085;0.24;-38;7;1;0.0110449;-17.11;0.24
E-13C@37;23.02.2021;30;08:35:00;-3289;-1277;0.66;1.37E+07;0.011148;0.3;-35;3;1;0.0111072;-11.57;0.3
E-13C@38;23.02.2021;30;08:40:00;-3261;-1256;0.66;1.06E+07;0.011185;0.27;-34;5;-6;0.0111438;-8.31;0.27
E-13C@39;23.02.2021;30;08:44:00;-3233;-1235;0.66;1.23E+07;0.011168;0.34;-31;4;-4;0.0111272;-9.79;0.34
E-13C@40;23.02.2021;30;08:49:00;-3205;-1214;0.66;1.03E+07;0.011202;0.29;-32;4;-4;0.0111612;-6.76;0.29
E-13C@41;23.02.2021;30;08:53:00;-3176;-1193;0.65;1.13E+07;0.011191;0.37;-34;3;-2;0.0111496;-7.79;0.37
E-13C@42;23.02.2021;30;08:58:00;-3147;-1172;0.64;4.03E+07;0.010958;0.17;-36;5;2;0.0109182;-28.39;0.17
E-13C@43;23.02.2021;30;09:03:00;-3118;-1151;0.65;1.01E+07;0.011194;0.3;-32;4;-6;0.0111529;-7.51;0.3
G-13C@01;22.02.2021;30;22:14:00;5424;-1533;1.31;1.50E+07;0.011252;0.3;18;6;-14;0.0112113;-2.31;0.3
G-13C@02;22.02.2021;30;22:18:00;5377;-1515;1.32;1.48E+07;0.011251;0.26;18;5;-12;0.01121;-2.42;0.26
G-13C@03;22.02.2021;30;22:23:00;5330;-1497;1.3;1.48E+07;0.011251;0.25;17;5;-13;0.0112095;-2.46;0.25
G-13C@04;22.02.2021;30;22:27:00;5283;-1479;1.3;1.49E+07;0.011242;0.25;17;5;-10;0.0112008;-3.24;0.25
G-13C@05;22.02.2021;30;22:32:00;5236;-1461;1.28;1.49E+07;0.011235;0.29;17;5;-13;0.0111941;-3.84;0.29
G-13C@06;22.02.2021;30;22:36:00;5189;-1443;1.28;1.49E+07;0.011245;0.28;16;5;-11;0.0112036;-2.99;0.28
G-13C@07;22.02.2021;30;22:41:00;5142;-1425;1.29;1.48E+07;0.011252;0.27;15;2;-13;0.0112112;-2.32;0.27
G-13C@08;22.02.2021;30;22:45:00;5095;-1406;1.27;1.45E+07;0.011237;0.3;13;3;-10;0.0111956;-3.7;0.3
G-13C@09;22.02.2021;30;22:50:00;5048;-1387;1.27;1.46E+07;0.011251;0.31;12;5;-9;0.0112096;-2.45;0.31
G-13C@10;22.02.2021;30;22:55:00;5001;-1368;1.24;1.50E+07;0.01125;0.24;14;5;-12;0.0112093;-2.48;0.24
G-13C@11;22.02.2021;30;22:59:00;4954;-1349;1.23;1.46E+07;0.011266;0.23;12;3;-11;0.011225;-1.09;0.23
G-13C@12;22.02.2021;30;23:04:00;4907;-1330;1.24;1.46E+07;0.011246;0.33;11;5;-10;0.0112048;-2.88;0.33
G-13C@13;22.02.2021;30;23:08:00;4861;-1311;1.24;1.42E+07;0.011231;0.28;10;3;-9;0.01119;-4.2;0.28
G-13C@14;22.02.2021;30;23:18:00;4814;-1292;1.2;1.42E+07;0.011235;0.24;10;4;-9;0.0111938;-3.86;0.24
G-13C@15;22.02.2021;30;23:22:00;4767;-1273;1.19;1.41E+07;0.011221;0.31;9;1;-10;0.0111796;-5.13;0.31
G-13C@16;22.02.2021;30;23:27:00;4720;-1254;1.18;1.41E+07;0.011217;0.24;9;3;-9;0.0111758;-5.46;0.24
G-13C@17;22.02.2021;30;23:31:00;4673;-1235;1.16;1.41E+07;0.011214;0.36;8;2;-8;0.0111725;-5.75;0.36
