Analysis;Analysis;Type;Oto number;Date;;;time after start (h);;east - west (µm);north - south (µm);primary current (nA);16 O ions per sec;18O/16O measured;1 SE (‰);;;DT-FA-x (bits);DT-FA-y (bits);entrance slit (bits);;;18O/16O IMF Corrected;d18O SMOW;
A-18O-Pt01;PSO-#A@01;Pt;BH-00729;13.02.2021;;;19.83;;-2655;6586;0.81;1.93E+09;0.0020504;0.083;;;-34;-40;13;;;0.00205811;26.39;
A-18O-Pt02;PSO-#A@02;Pt;BH-00729;13.02.2021;;;19.9;;-2638;6662;0.81;1.91E+09;0.00205227;0.075;;;-36;-42;13;;;0.00205998;27.32;
A-18O-Pt03;PSO-#A@03;Pt;BH-00729;13.02.2021;;;19.97;;-2427;6487;0.8;1.92E+09;0.00205046;0.115;;;-29;-36;10;;;0.00205817;26.42;
A-18O-Pt04;PSO-#A@04;Pt;BH-00729;13.02.2021;;;20.03;;-2399;6571;0.8;1.93E+09;0.00204964;0.117;;;-30;-38;9;;;0.00205734;26;
A-18O-Pt05;PSO-#A@05;Pt;BH-00729;13.02.2021;;;20.08;;-2203;6419;0.8;1.93E+09;0.00204901;0.091;;;-25;-33;9;;;0.00205672;25.69;
A-18O-Pt06;PSO-#A@06;Pt;BH-00729;13.02.2021;;;20.15;;-2186;6487;0.8;1.92E+09;0.00204896;0.109;;;-27;-34;9;;;0.00205667;25.67;
A-18O-Pt07;PSO-#A@07;Pt;BH-00729;13.02.2021;;;20.22;;-1824;6444;0.76;1.94E+09;0.00204634;0.078;;;-21;-30;11;;;0.00205403;24.35;
A-18O-Pt08;PSO-#A@08;Pt;BH-00729;13.02.2021;;;20.28;;-1800;6500;0.82;1.94E+09;0.00204877;0.088;;;-22;-31;11;;;0.00205647;25.57;
A-18O-trans002;PSO-#A@02;tr;BH-00729;13.02.2021;;;17.32;;-2304;7024;0.86;2.03E+09;0.00204948;0.095;;;-34;-48;11;;;0.00205718;25.92;
A-18O-trans003;PSO-#A@03;tr;BH-00729;13.02.2021;;;17.52;;-2266;6996;0.86;1.99E+09;0.00205214;0.089;;;-33;-47;11;;;0.00205985;27.26;
A-18O-trans004;PSO-#A@04;tr;BH-00729;13.02.2021;;;17.58;;-2228;6968;0.85;1.98E+09;0.00205008;0.085;;;-31;-45;11;;;0.00205778;26.22;
A-18O-trans005;PSO-#A@05;tr;BH-00729;13.02.2021;;;17.63;;-2189;6940;0.85;2.01E+09;0.0020463;0.11;;;-30;-44;10;;;0.002054;24.34;
A-18O-trans006;PSO-#A@06;tr;BH-00729;13.02.2021;;;17.7;;-2150;6912;0.86;1.98E+09;0.00204928;0.115;;;-29;-44;11;;;0.00205698;25.82;
A-18O-trans007;PSO-#A@07;tr;BH-00729;13.02.2021;;;17.77;;-2111;6884;0.86;2.00E+09;0.00204807;0.064;;;-28;-43;10;;;0.00205577;25.22;
A-18O-trans008;PSO-#A@08;tr;BH-00729;13.02.2021;;;17.83;;-2072;6856;0.85;2.01E+09;0.00204869;0.116;;;-27;-41;9;;;0.0020564;25.53;
A-18O-trans009;PSO-#A@09;tr;BH-00729;13.02.2021;;;17.9;;-2033;6828;0.86;2.01E+09;0.00204959;0.099;;;-27;-40;9;;;0.00205729;25.98;
A-18O-trans01;PSO-#A@01;tr;margin;13.02.2021;;;17.25;;-2342;7053;0.86;1.99E+09;0.00204865;0.081;;;-35;-49;14;;;0.00205636;25.51;
A-18O-trans010;PSO-#A@10;tr;BH-00729;13.02.2021;;;17.97;;-1994;6800;0.85;2.01E+09;0.00204858;0.115;;;-26;-41;8;;;0.00205628;25.47;
A-18O-trans011;PSO-#A@11;tr;BH-00729;13.02.2021;;;18.03;;-1955;6772;0.87;2.04E+09;0.00204736;0.075;;;-25;-39;8;;;0.00205506;24.86;
A-18O-trans012;PSO-#A@12;tr;BH-00729;13.02.2021;;;18.08;;-1916;6744;0.87;2.01E+09;0.00205099;0.075;;;-24;-38;8;;;0.0020587;26.68;
A-18O-trans013;PSO-#A@13;tr;BH-00729;13.02.2021;;;18.15;;-1877;6716;0.86;1.99E+09;0.00204855;0.092;;;-23;-37;8;;;0.00205626;25.46;
A-18O-trans014;PSO-#A@14;tr;BH-00729;13.02.2021;;;18.22;;-1850;6694;0.84;2.00E+09;0.00204853;0.096;;;-23;-38;10;;;0.00205623;25.45;
A-18O-trans015;PSO-#A@15;tr;BH-00729;13.02.2021;;;18.28;;-1823;6672;0.84;1.97E+09;0.0020487;0.124;;;-22;-37;10;;;0.0020564;25.53;
A-18O-trans016;PSO-#A@16;tr;BH-00729;13.02.2021;;;18.35;;-1796;6652;0.84;2.02E+09;0.0020481;0.117;;;-22;-36;11;;;0.00205579;25.23;
A-18O-trans017;PSO-#A@17;tr;BH-00729;13.02.2021;;;18.42;;-1769;6630;0.85;2.00E+09;0.00204939;0.096;;;-21;-35;10;;;0.00205709;25.88;
A-18O-trans018;PSO-#A@18;tr;BH-00729;13.02.2021;;;18.55;;-1742;6610;0.83;1.98E+09;0.00204776;0.126;;;-21;-35;10;;;0.00205546;25.07;
A-18O-trans019;PSO-#A@19;tr;BH-00729;13.02.2021;;;18.62;;-1715;6588;0.81;1.93E+09;0.00204921;0.115;;;-20;-34;9;;;0.00205691;25.79;
A-18O-trans020;PSO-#A@20;tr;BH-00729;13.02.2021;;;18.67;;-1688;6568;0.81;1.98E+09;0.00204637;0.096;;;-20;-34;10;;;0.00205406;24.37;
A-18O-trans021;PSO-#A@21;tr;BH-00729;13.02.2021;;;18.73;;-1661;6546;0.81;1.98E+09;0.00204667;0.11;;;-19;-33;10;;;0.00205437;24.52;
A-18O-trans022;PSO-#A@22;tr;BH-00729;13.02.2021;;;18.8;;-1634;6526;0.82;1.89E+09;0.00204845;0.124;;;-18;-33;12;;;0.00205615;25.41;
A-18O-trans023;PSO-#A@23;tr;BH-00729;13.02.2021;;;18.87;;-1607;6504;0.82;1.99E+09;0.00204672;0.094;;;-18;-32;9;;;0.00205441;24.54;
A-18O-trans024;PSO-#A@24;tr;BH-00729;13.02.2021;;;18.93;;-1580;6484;0.83;1.97E+09;0.00204668;0.124;;;-17;-31;10;;;0.00205438;24.52;
A-18O-trans025;PSO-#A@25;tr;BH-00729;13.02.2021;;;19;;-1553;6462;0.82;1.97E+09;0.00205064;0.132;;;-17;-30;10;;;0.00205835;26.5;
A-18O-trans026;PSO-#A@26;tr;BH-00729;13.02.2021;;;19.05;;-1525;6442;0.82;1.97E+09;0.0020485;0.105;;;-16;-30;10;;;0.0020562;25.43;
A-18O-trans027;PSO-#A@27;tr;BH-00729;13.02.2021;;;19.12;;-1497;6420;0.81;1.96E+09;0.00204725;0.096;;;-16;-29;9;;;0.00205494;24.81;
A-18O-trans028;PSO-#A@28;tr;BH-00729;13.02.2021;;;19.18;;-1469;6400;0.81;1.97E+09;0.00204535;0.088;;;-15;-28;8;;;0.00205304;23.86;
A-18O-trans029;PSO-#A@29;tr;BH-00729;13.02.2021;;;19.25;;-1441;6378;0.82;1.97E+09;0.00204689;0.091;;;-15;-28;10;;;0.00205459;24.63;
A-18O-trans030;PSO-#A@30;tr;BH-00729;13.02.2021;;;19.32;;-1413;6358;0.82;1.96E+09;0.00204422;0.122;;;-15;-28;9;;;0.0020519;23.29;
A-18O-trans031;PSO-#A@31;tr;BH-00729;13.02.2021;;;19.38;;-1385;6336;0.82;1.64E+09;0.00204274;0.122;;;-14;-28;8;;;0.00205042;22.55;
A-18O-trans032;PSO-#A@32;tr;BH-00729;13.02.2021;;;19.45;;-1357;6316;0.82;1.89E+09;0.00204597;0.151;;;-14;-27;8;;;0.00205366;24.17;
A-18O-trans033;PSO-#A@33;tr;BH-00729;13.02.2021;;;19.63;;-1329;6294;0.8;1.96E+09;0.00204747;0.099;;;-13;-26;9;;;0.00205517;24.92;
A-18O-trans034;PSO-#A@34;tr;BH-00729;13.02.2021;;;19.7;;-1301;6273;0.8;1.96E+09;0.00204478;0.132;;;-13;-26;11;;;0.00205247;23.57;
A-18O-trans035;PSO-#A@35;tr;core;13.02.2021;;;19.77;;-1273;6252;0.82;1.99E+09;0.00204462;0.085;;;-12;-25;8;;;0.0020523;23.49;
B-18O-Pt01;PSO-#B@01;Pt;BH-00670;13.02.2021;;;16.62;;-3861;5583;0.83;1.96E+09;0.00205174;0.08;;;-41;-32;10;;;0.00205946;27.06;
B-18O-Pt010;PSO-#B@10;Pt;BH-00670;13.02.2021;;;17.18;;-3823;5000;0.86;1.99E+09;0.00205091;0.127;;;-33;-22;10;;;0.00205862;26.64;
B-18O-Pt02;PSO-#B@02;Pt;BH-00670;13.02.2021;;;16.67;;-3793;5569;0.82;1.92E+09;0.00205139;0.112;;;-39;-32;12;;;0.0020591;26.88;
B-18O-Pt03;PSO-#B@03;Pt;BH-00670;13.02.2021;;;16.73;;-3877;5478;0.83;1.98E+09;0.00204857;0.123;;;-40;-31;11;;;0.00205627;25.47;
B-18O-Pt04;PSO-#B@04;Pt;BH-00670;13.02.2021;;;16.8;;-3812;5464;0.83;1.96E+09;0.00205009;0.118;;;-38;-30;10;;;0.0020578;26.23;
B-18O-Pt05;PSO-#B@05;Pt;BH-00670;13.02.2021;;;16.87;;-3868;5389;0.83;1.98E+09;0.00204992;0.101;;;-38;-28;12;;;0.00205763;26.15;
B-18O-Pt06;PSO-#B@06;Pt;BH-00670;13.02.2021;;;16.93;;-3821;5355;0.83;1.99E+09;0.00204905;0.106;;;-37;-27;9;;;0.00205675;25.71;
B-18O-Pt07;PSO-#B@07;Pt;BH-00670;13.02.2021;;;17;;-3857;5199;0.84;2.02E+09;0.00205192;0.098;;;-36;-25;9;;;0.00205963;27.15;
B-18O-Pt08;PSO-#B@08;Pt;BH-00670;13.02.2021;;;17.07;;-3800;5170;0.84;2.01E+09;0.00204994;0.089;;;-34;-24;10;;;0.00205764;26.15;
B-18O-Pt09;PSO-#B@09;Pt;BH-00670;13.02.2021;;;17.12;;-3860;5035;0.85;2.02E+09;0.0020491;0.094;;;-34;-23;9;;;0.0020568;25.73;
B-18O-trans002;PSO-#B@02;tr;BH-00670;13.02.2021;;;14.55;;-3945;5617;0.89;2.02E+09;0.00205263;0.102;;;-43;-33;15;;;0.00206035;27.5;
B-18O-trans003;PSO-#B@03;tr;BH-00670;13.02.2021;;;14.62;;-3945;5567;0.88;2.03E+09;0.00204898;0.105;;;-42;-32;12;;;0.00205668;25.67;
B-18O-trans004;PSO-#B@04;tr;BH-00670;13.02.2021;;;14.68;;-3945;5517;0.88;2.01E+09;0.00204866;0.112;;;-42;-31;15;;;0.00205636;25.51;
B-18O-trans005;PSO-#B@05;tr;BH-00670;13.02.2021;;;14.73;;-3945;5468;0.88;2.01E+09;0.00204876;0.129;;;-41;-30;12;;;0.00205647;25.57;
B-18O-trans006;PSO-#B@06;tr;BH-00670;13.02.2021;;;14.8;;-3945;5418;0.87;2.00E+09;0.00205107;0.119;;;-41;-29;14;;;0.00205878;26.72;
B-18O-trans007;PSO-#B@07;tr;BH-00670;13.02.2021;;;14.87;;-3945;5369;0.87;2.01E+09;0.00204896;0.15;;;-40;-28;14;;;0.00205666;25.66;
B-18O-trans008;PSO-#B@08;tr;BH-00670;13.02.2021;;;14.93;;-3945;5319;0.88;2.02E+09;0.0020492;0.078;;;-40;-27;12;;;0.00205691;25.79;
B-18O-trans009;PSO-#B@09;tr;BH-00670;13.02.2021;;;15;;-3945;5269;0.86;2.00E+09;0.00204946;0.113;;;-39;-26;14;;;0.00205716;25.91;
B-18O-trans01;PSO-#B@01;tr;margin;13.02.2021;;;14.48;;-3945;5667;0.88;1.95E+09;0.00204933;0.11;;;-44;-33;11;;;0.00205703;25.85;
B-18O-trans010;PSO-#B@10;tr;BH-00670;13.02.2021;;;15.07;;-3945;5221;0.86;1.99E+09;0.00205003;0.134;;;-38;-26;13;;;0.00205773;26.2;
B-18O-trans011;PSO-#B@11;tr;BH-00670;13.02.2021;;;15.13;;-3945;5186;0.86;2.02E+09;0.00205041;0.111;;;-38;-25;13;;;0.00205811;26.39;
B-18O-trans012;PSO-#B@12;tr;BH-00670;13.02.2021;;;15.18;;-3945;5152;0.87;2.04E+09;0.00204973;0.096;;;-38;-24;12;;;0.00205743;26.05;
B-18O-trans013;PSO-#B@13;tr;BH-00670;13.02.2021;;;15.38;;-3945;5118;0.87;2.03E+09;0.00204792;0.111;;;-38;-23;13;;;0.00205562;25.14;
B-18O-trans014;PSO-#B@14;tr;BH-00670;13.02.2021;;;15.45;;-3945;5085;0.87;2.03E+09;0.0020484;0.105;;;-37;-23;13;;;0.0020561;25.38;
B-18O-trans015;PSO-#B@15;tr;BH-00670;13.02.2021;;;15.52;;-3945;5051;0.87;2.03E+09;0.0020486;0.107;;;-37;-22;11;;;0.00205631;25.49;
B-18O-trans016;PSO-#B@16;tr;BH-00670;13.02.2021;;;15.58;;-3945;5018;0.88;2.03E+09;0.00205024;0.103;;;-37;-22;13;;;0.00205795;26.3;
B-18O-trans017;PSO-#B@17;tr;BH-00670;13.02.2021;;;15.65;;-3945;4984;0.86;2.02E+09;0.00204825;0.111;;;-36;-21;11;;;0.00205595;25.31;
B-18O-trans018;PSO-#B@18;tr;BH-00670;13.02.2021;;;15.7;;-3945;4951;0.86;2.02E+09;0.00204766;0.121;;;-36;-21;11;;;0.00205536;25.02;
B-18O-trans019;PSO-#B@19;tr;BH-00670;13.02.2021;;;15.77;;-3945;4918;0.85;2.04E+09;0.00204653;0.132;;;-36;-20;13;;;0.00205422;24.45;
B-18O-trans020;PSO-#B@20;tr;BH-00670;13.02.2021;;;15.83;;-3945;4884;0.87;2.04E+09;0.00204523;0.098;;;-35;-19;11;;;0.00205292;23.8;
B-18O-trans021;PSO-#B@21;tr;BH-00670;13.02.2021;;;15.9;;-3945;4850;0.87;2.04E+09;0.00205029;0.112;;;-35;-19;12;;;0.002058;26.33;
B-18O-trans022;PSO-#B@22;tr;BH-00670;13.02.2021;;;15.97;;-3945;4817;0.88;2.01E+09;0.0020485;0.114;;;-34;-19;13;;;0.0020562;25.43;
B-18O-trans023;PSO-#B@23;tr;BH-00670;13.02.2021;;;16.03;;-3945;4784;0.89;2.00E+09;0.00204626;0.13;;;-34;-18;12;;;0.00205395;24.31;
B-18O-trans024;PSO-#B@24;tr;BH-00670;13.02.2021;;;16.1;;-3945;4750;0.88;1.79E+09;0.00204239;0.185;;;-34;-18;12;;;0.00205007;22.38;
B-18O-trans025;PSO-#B@25;tr;BH-00670;13.02.2021;;;16.15;;-3945;4716;0.87;2.04E+09;0.00204804;0.095;;;-34;-17;11;;;0.00205574;25.2;
B-18O-trans026;PSO-#B@26;tr;BH-00670;13.02.2021;;;16.22;;-3945;4683;0.87;2.05E+09;0.00204725;0.129;;;-33;-17;10;;;0.00205494;24.81;
B-18O-trans027;PSO-#B@27;tr;BH-00670;13.02.2021;;;16.28;;-3945;4650;0.86;2.04E+09;0.0020467;0.122;;;-33;-16;11;;;0.00205439;24.53;
B-18O-trans028;PSO-#B@28;tr;BH-00670;13.02.2021;;;16.42;;-3944;4616;0.87;1.71E+09;0.00204497;0.116;;;-32;-16;10;;;0.00205265;23.67;
B-18O-trans029;PSO-#B@29;tr;BH-00670;13.02.2021;;;16.48;;-3943;4582;0.85;2.03E+09;0.00204629;0.082;;;-32;-16;11;;;0.00205398;24.33;
B-18O-trans030;PSO-#B@30;tr;core;13.02.2021;;;16.55;;-3942;4550;0.84;1.98E+09;0.0020455;0.092;;;-32;-15;11;;;0.00205319;23.93;
D-18O-Pt002;PSO-#D@02;Pt;BH-01570;12.02.2021;;;4.05;;-2618;-5222;1.1;2.33E+09;0.00205003;0.077;;;-12;40;5;;;0.00205774;26.2;
D-18O-Pt003;PSO-#D@03;Pt;BH-01570;12.02.2021;;;4.12;;-2764;-5162;1.1;2.36E+09;0.0020504;0.121;;;-14;40;6;;;0.00205811;26.39;
D-18O-Pt004;PSO-#D@04;Pt;BH-01570;12.02.2021;;;4.18;;-2706;-5100;1.1;2.36E+09;0.00205015;0.118;;;-12;39;5;;;0.00205785;26.26;
D-18O-Pt005;PSO-#D@05;Pt;BH-01570;12.02.2021;;;4.25;;-2825;-5030;1.1;2.32E+09;0.00205184;0.106;;;-14;39;6;;;0.00205955;27.11;
D-18O-Pt006;PSO-#D@06;Pt;BH-01570;12.02.2021;;;4.32;;-2762;-4989;1.09;2.33E+09;0.00204977;0.108;;;-12;38;4;;;0.00205748;26.07;
D-18O-Pt007;PSO-#D@07;Pt;BH-01570;12.02.2021;;;4.38;;-2902;-4924;1.09;2.35E+09;0.00205168;0.108;;;-14;38;5;;;0.00205939;27.02;
D-18O-Pt008;PSO-#D@08;Pt;BH-01570;12.02.2021;;;4.43;;-2854;-4877;1.09;2.33E+09;0.00204785;0.108;;;-13;37;4;;;0.00205554;25.11;
D-18O-Pt009;PSO-#D@09;Pt;BH-01570;12.02.2021;;;4.5;;-2974;-4776;1.08;2.33E+09;0.00205008;0.101;;;-14;36;4;;;0.00205779;26.23;
D-18O-Pt01;PSO-#D@01;Pt;BH-01570;12.02.2021;;;3.98;;-2661;-5279;1.11;2.35E+09;0.00205091;0.094;;;-13;41;5;;;0.00205862;26.64;
D-18O-Pt010;PSO-#D@10;Pt;BH-01570;12.02.2021;;;4.7;;-2920;-4708;1.07;2.33E+09;0.0020529;0.103;;;-13;35;4;;;0.00206062;27.64;
D-18O-Pt011;PSO-#D@11;Pt;BH-01570;12.02.2021;;;4.77;;-3123;-4579;1.09;2.35E+09;0.00205115;0.105;;;-14;35;6;;;0.00205886;26.76;
D-18O-Pt012;PSO-#D@12;Pt;BH-01570;12.02.2021;;;4.83;;-3043;-4539;1.09;2.34E+09;0.0020501;0.077;;;-13;33;5;;;0.00205781;26.24;
D-18O-Pt013;PSO-#D@13;Pt;BH-01570;12.02.2021;;;4.9;;-3343;-4219;1.09;2.35E+09;0.00204943;0.106;;;-15;31;5;;;0.00205713;25.9;
D-18O-Pt014;PSO-#D@14;Pt;BH-01570;12.02.2021;;;4.95;;-3300;-4162;1.09;2.32E+09;0.00204844;0.114;;;-15;31;3;;;0.00205615;25.41;
D-18O-trans002;PSO-#D@02;tr;BH-01570;12.02.2021;;;0.45;;-2624;-5585;1.25;2.55E+09;0.00205518;0.095;;;-16;47;4;;;0.0020629;28.78;
D-18O-trans003;PSO-#D@03;tr;BH-01570;12.02.2021;;;0.52;;-2649;-5543;1.24;2.53E+09;0.00205305;0.105;;;-16;46;6;;;0.00206076;27.71;
D-18O-trans004;PSO-#D@04;tr;BH-01570;12.02.2021;;;0.57;;-2674;-5501;1.23;2.55E+09;0.00205228;0.093;;;-16;45;5;;;0.00205999;27.32;
D-18O-trans005;PSO-#D@05;tr;BH-01570;12.02.2021;;;0.63;;-2699;-5459;1.23;2.52E+09;0.00204904;0.094;;;-16;45;7;;;0.00205674;25.71;
D-18O-trans006;PSO-#D@06;tr;BH-01570;12.02.2021;;;0.7;;-2724;-5417;1.23;2.55E+09;0.00205122;0.087;;;-16;45;6;;;0.00205893;26.8;
D-18O-trans007;PSO-#D@07;tr;BH-01570;12.02.2021;;;0.77;;-2749;-5375;1.24;2.52E+09;0.00205091;0.081;;;-16;44;8;;;0.00205862;26.64;
D-18O-trans008;PSO-#D@08;tr;BH-01570;12.02.2021;;;0.83;;-2774;-5333;1.24;2.55E+09;0.00205349;0.059;;;-16;43;5;;;0.00206121;27.93;
D-18O-trans009;PSO-#D@09;tr;BH-01570;12.02.2021;;;0.9;;-2799;-5291;1.24;2.53E+09;0.00205045;0.098;;;-16;43;8;;;0.00205815;26.41;
D-18O-trans01;PSO-#D@01;tr;margin;12.02.2021;;;0.38;;-2598;-5627;1.23;2.53E+09;0.00204914;0.105;;;-16;45;6;;;0.00205684;25.75;
D-18O-trans010;PSO-#D@10;tr;BH-01570;12.02.2021;;;0.97;;-2824;-5249;1.23;2.54E+09;0.00205322;0.103;;;-16;43;6;;;0.00206093;27.79;
D-18O-trans011;PSO-#D@11;tr;BH-01570;12.02.2021;;;1.02;;-2849;-5207;1.23;2.52E+09;0.00205085;0.068;;;-16;43;8;;;0.00205856;26.61;
D-18O-trans012;PSO-#D@12;tr;BH-01570;12.02.2021;;;1.08;;-2874;-5165;1.23;2.54E+09;0.00205027;0.077;;;-16;42;6;;;0.00205798;26.32;
D-18O-trans013;PSO-#D@13;tr;BH-01570;12.02.2021;;;1.15;;-2899;-5123;1.23;2.51E+09;0.00204919;0.094;;;-16;41;8;;;0.0020569;25.78;
D-18O-trans014;PSO-#D@14;tr;BH-01570;12.02.2021;;;1.22;;-2924;-5081;1.23;2.53E+09;0.00204989;0.094;;;-16;41;5;;;0.00205759;26.13;
D-18O-trans015;PSO-#D@15;tr;BH-01570;12.02.2021;;;1.28;;-2949;-5039;1.22;2.49E+09;0.00205187;0.08;;;-17;41;9;;;0.00205959;27.12;
D-18O-trans016;PSO-#D@16;tr;BH-01570;12.02.2021;;;1.42;;-2974;-4997;1.21;2.54E+09;0.00204938;0.078;;;-17;40;6;;;0.00205709;25.88;
D-18O-trans017;PSO-#D@17;tr;BH-01570;12.02.2021;;;1.48;;-2999;-4955;1.21;2.49E+09;0.0020529;0.111;;;-16;39;7;;;0.00206062;27.64;
D-18O-trans018;PSO-#D@18;tr;BH-01570;12.02.2021;;;1.53;;-3024;-4913;1.21;2.50E+09;0.00204802;0.12;;;-17;39;5;;;0.00205572;25.2;
D-18O-trans019;PSO-#D@19;tr;BH-01570;12.02.2021;;;1.6;;-3049;-4870;1.21;2.51E+09;0.0020531;0.102;;;-17;39;8;;;0.00206081;27.73;
D-18O-trans020;PSO-#D@20;tr;BH-01570;12.02.2021;;;1.67;;-3074;-4827;1.21;2.48E+09;0.00204999;0.084;;;-17;38;7;;;0.0020577;26.18;
D-18O-trans021;PSO-#D@21;tr;BH-01570;12.02.2021;;;1.73;;-3093;-4798;1.2;2.48E+09;0.00204925;0.088;;;-17;39;6;;;0.00205695;25.81;
D-18O-trans022;PSO-#D@22;tr;BH-01570;12.02.2021;;;1.8;;-3112;-4769;1.2;2.50E+09;0.00205065;0.106;;;-17;39;3;;;0.00205836;26.51;
D-18O-trans023;PSO-#D@23;tr;BH-01570;12.02.2021;;;1.87;;-3131;-4740;1.21;2.47E+09;0.00204867;0.128;;;-17;37;2;;;0.00205637;25.52;
D-18O-trans024;PSO-#D@24;tr;BH-01570;12.02.2021;;;1.93;;-3150;-4711;1.2;2.49E+09;0.00204936;0.125;;;-17;38;5;;;0.00205707;25.87;
D-18O-trans025;PSO-#D@25;tr;BH-01570;12.02.2021;;;1.98;;-3169;-4682;1.21;2.49E+09;0.00204846;0.096;;;-17;38;4;;;0.00205616;25.41;
D-18O-trans026;PSO-#D@26;tr;BH-01570;12.02.2021;;;2.05;;-3188;-4653;1.2;2.50E+09;0.00204871;0.109;;;-17;38;3;;;0.00205641;25.54;
D-18O-trans027;PSO-#D@27;tr;BH-01570;12.02.2021;;;2.12;;-3207;-4623;1.21;2.49E+09;0.00205114;0.092;;;-17;37;6;;;0.00205885;26.76;
D-18O-trans028;PSO-#D@28;tr;BH-01570;12.02.2021;;;2.18;;-3226;-4593;1.21;2.51E+09;0.00205018;0.099;;;-17;37;3;;;0.00205789;26.27;
D-18O-trans029;PSO-#D@29;tr;BH-01570;12.02.2021;;;2.25;;-3244;-4563;1.2;2.46E+09;0.00204834;0.096;;;-18;37;6;;;0.00205604;25.35;
D-18O-trans030;PSO-#D@30;tr;BH-01570;12.02.2021;;;2.32;;-3262;-4533;1.19;2.47E+09;0.00204908;0.105;;;-18;36;3;;;0.00205678;25.72;
D-18O-trans031;PSO-#D@31;tr;BH-01570;12.02.2021;;;2.5;;-3280;-4503;1.19;2.30E+09;0.00204766;0.075;;;-18;36;3;;;0.00205536;25.01;
D-18O-trans032;PSO-#D@32;tr;BH-01570;12.02.2021;;;2.57;;-3298;-4473;1.18;1.20E+09;0.00204266;0.153;;;-17;30;4;;;0.00205034;22.51;
D-18O-trans033;PSO-#D@33;tr;BH-01570;12.02.2021;;;2.63;;-3316;-4443;1.19;2.39E+09;0.00204833;0.101;;;-18;36;10;;;0.00205603;25.35;
